,id,raw_name,depth_ordering_rank,crop,header_id,num_mask_points,xmin,ymin,xmax,ymax,width,height,coco_label
129,13,person,14,0,1663,28,89,101,114,205,25,104,person
130,3,person,4,0,1664,40,126,183,159,296,33,113,person
131,4,person,5,0,1664,45,64,158,104,290,40,132,person
132,5,person,6,0,1664,41,23,133,62,270,39,137,person
133,9,person,10,0,1667,15,300,117,308,143,8,26,person
134,10,person,11,0,1667,22,352,109,366,154,14,45,person
135,15,sofa,16,1,1668,29,2,450,139,516,137,66,couch
136,3,chair,4,0,1673,28,144,172,229,232,85,60,chair
137,7,chair,8,0,1674,22,1113,595,1168,693,55,98,chair
138,3,window,4,0,1678,19,876,346,1084,662,208,316,window
139,4,window,5,0,1678,15,490,342,688,653,198,311,window
140,26,table,27,0,1678,115,79,715,356,1089,277,374,dining table
141,7,sofa,8,0,1682,22,106,188,160,232,54,44,couch
142,7,person,7,0,1684,58,216,244,291,498,75,254,person
143,6,person,7,1,1685,28,275,60,315,213,40,153,person
144,8,person,9,1,1685,46,240,40,296,229,56,189,person
145,18,chair,19,1,1688,44,1793,575,1926,831,133,256,chair
146,20,table,21,1,1688,37,1901,665,2198,987,297,322,dining table
147,0,person,1,0,1689,125,0,103,70,297,70,194,person
148,10,person,11,0,1689,44,160,131,182,227,22,96,person
149,11,person,12,0,1689,46,135,121,161,230,26,109,person
150,12,person,13,0,1689,41,105,133,133,252,28,119,person
151,13,person,14,0,1689,44,82,132,108,261,26,129,person
152,2,person,3,0,1691,50,153,34,199,223,46,189,person
153,11,person,12,1,1692,71,395,478,788,1465,393,987,person
154,12,person,13,1,1692,97,728,405,1140,1465,412,1060,person
155,17,person,18,1,1693,75,915,392,1300,1198,385,806,person
156,4,chair,5,0,1695,17,844,707,948,815,104,108,chair
157,3,person,4,1,1696,134,1381,182,1859,1645,478,1463,person
158,21,bench,22,0,1697,15,194,1233,1180,1645,986,412,bench
159,5,person,6,1,1700,38,1792,857,1952,1318,160,461,person
160,8,person,9,0,1700,31,590,883,651,1108,61,225,person
161,9,person,10,0,1700,26,649,867,720,1110,71,243,person
162,10,person,11,0,1700,33,1340,861,1415,1037,75,176,person
163,1,person,2,1,22676,97,763,3,2192,1463,1429,1460,person
164,2,book,3,0,22676,20,866,990,1490,1367,624,377,book
165,9,table,10,1,22678,42,283,459,563,682,280,223,dining table
166,10,person,11,1,22678,28,947,228,1023,682,76,454,person
167,11,person,12,1,22678,69,350,119,556,682,206,563,person
168,12,person,13,1,22678,50,130,172,301,534,171,362,person
169,13,bottle,14,0,22678,15,129,459,158,541,29,82,bottle
170,1,person,2,1,22679,52,66,234,480,682,414,448,person
171,2,person,3,1,22679,107,225,95,960,680,735,585,person
172,3,person,4,1,22679,52,596,246,1016,679,420,433,person
173,2,person,3,1,22680,57,387,66,1023,682,636,616,person
174,7,person,8,1,22681,70,352,270,727,680,375,410,person
175,8,person,9,1,22681,42,58,356,209,677,151,321,person
176,9,person,10,1,22681,25,2,341,97,681,95,340,person
177,2,bowl,3,0,22682,41,136,94,1136,747,1000,653,bowl
178,2,person,3,1,22683,52,24,300,324,955,300,655,person
179,3,person,4,1,22684,17,960,191,1023,362,63,171,person
180,4,person,5,1,22684,21,742,211,811,317,69,106,person
181,7,person,8,1,22684,28,551,201,625,306,74,105,person
182,8,person,9,1,22684,26,449,164,575,318,126,154,person
183,9,person,10,1,22684,45,307,244,449,685,142,441,person
184,10,person,11,1,22684,51,351,176,558,686,207,510,person
185,11,person,12,1,22684,97,447,116,836,685,389,569,person
186,12,person,13,1,22684,85,547,66,1023,684,476,618,person
187,10,door,11,0,22686,16,35,196,84,495,49,299,door
188,6,person,7,1,22687,59,695,150,1000,698,305,548,person
189,8,person,9,1,22687,37,586,330,739,749,153,419,person
190,10,person,11,1,22687,52,382,331,543,749,161,418,person
191,11,person,12,1,22687,48,279,328,395,748,116,420,person
192,12,person,13,1,22687,48,0,147,204,749,204,602,person
193,13,person,14,1,22687,56,105,283,211,750,106,467,person
194,14,person,15,1,22687,45,151,398,233,748,82,350,person
195,3,person,4,1,22689,105,2,279,963,682,961,403,person
196,4,person,5,1,22689,41,92,398,451,682,359,284,person
197,7,chair,8,1,22690,15,580,386,616,449,36,63,chair
198,8,chair,9,1,22690,34,584,487,702,679,118,192,chair
199,9,person,10,1,22690,44,500,365,608,512,108,147,person
200,10,person,11,1,22690,48,558,355,707,589,149,234,person
201,11,person,12,1,22690,83,328,154,498,463,170,309,person
202,12,person,13,1,22690,49,196,242,304,391,108,149,person
203,13,person,14,1,22690,58,1,154,65,531,64,377,person
204,14,person,15,0,22690,112,24,203,268,690,244,487,person
205,15,table,16,0,22690,51,134,373,582,768,448,395,dining table
206,20,bowl,21,0,22690,20,305,428,380,495,75,67,bowl
207,21,bottle,22,0,22690,23,242,350,282,428,40,78,bottle
208,6,person,7,1,1701,49,2,88,150,338,148,250,person
209,9,person,10,1,1701,43,220,118,265,281,45,163,person
210,10,person,11,0,1701,55,232,129,297,301,65,172,person
211,3,chair,4,0,1702,28,1781,520,2150,1094,369,574,chair
212,6,table,7,0,1702,17,1822,255,2194,612,372,357,dining table
213,13,person,14,1,1702,37,538,787,1434,1466,896,679,person
214,30,vase,31,1,1702,15,2034,184,2092,278,58,94,vase
215,34,bottle,35,1,1702,16,1918,1245,2005,1323,87,78,bottle
216,36,bowl,37,0,1702,23,355,1127,456,1249,101,122,bowl
217,43,bowl,44,0,1702,19,1914,253,1955,302,41,49,bowl
218,3,person,4,1,1703,46,118,105,262,224,144,119,person
219,4,person,5,1,1703,41,80,57,172,223,92,166,person
220,5,person,6,1,1703,37,2,47,85,255,83,208,person
221,6,person,7,1,1703,24,254,129,367,274,113,145,person
222,5,person,6,1,1704,34,113,71,178,240,65,169,person
223,6,person,7,1,1704,30,82,181,162,335,80,154,person
224,7,person,8,1,1704,23,165,190,230,333,65,143,person
225,8,person,9,1,1704,34,65,263,235,402,170,139,person
226,9,person,10,1,1704,35,180,64,243,258,63,194,person
227,10,person,11,0,1704,33,224,81,288,344,64,263,person
228,4,person,5,0,1705,78,19,50,136,344,117,294,person
229,3,person,3,1,1706,56,0,22,350,531,350,509,person
230,6,table,6,1,1706,15,84,0,261,102,177,102,dining table
231,7,person,8,1,1707,39,53,141,183,326,130,185,person
232,9,person,10,1,1707,53,273,55,405,327,132,272,person
233,5,person,6,0,1708,63,72,6,180,322,108,316,person
234,8,person,9,1,1708,46,273,80,435,331,162,251,person
235,10,person,11,1,1708,32,397,56,470,282,73,226,person
236,12,person,13,0,1708,42,539,71,648,326,109,255,person
237,6,person,7,1,1709,34,287,86,372,374,85,288,person
238,7,person,8,1,1709,60,207,32,478,374,271,342,person
239,9,person,10,1,1710,53,372,1,589,423,217,422,person
240,2,person,3,1,1711,28,0,161,142,374,142,213,person
241,5,person,6,1,1711,31,190,0,317,236,127,236,person
242,7,person,8,0,1711,31,312,1,429,194,117,193,person
243,8,person,9,1,1711,28,423,55,500,338,77,283,person
244,11,person,12,1,1711,65,220,73,433,374,213,301,person
245,4,person,5,1,1712,41,46,160,351,749,305,589,person
246,8,chair,9,1,1712,18,81,577,156,749,75,172,chair
247,0,bottle,1,0,1713,20,958,753,1020,941,62,188,bottle
248,2,person,3,1,1713,39,1160,438,1570,1074,410,636,person
249,5,window,6,0,1713,15,973,1,1516,841,543,840,window
250,9,person,10,1,1713,24,196,484,506,836,310,352,person
251,10,person,11,1,1713,46,48,776,942,1647,894,871,person
252,11,person,12,1,1713,29,54,804,657,1519,603,715,person
253,13,person,14,1,1713,30,1467,692,1837,1172,370,480,person
254,14,person,15,1,1713,39,1592,509,2195,1413,603,904,person
255,65,bottle,66,0,1713,20,1180,921,1270,1154,90,233,bottle
256,68,glasses,69,0,1713,33,1207,1202,1311,1246,104,44,eye glasses
257,1,person,2,1,22692,49,2,2,518,773,516,771,person
258,2,person,3,1,22692,51,342,163,658,664,316,501,person
259,4,person,5,1,22692,27,532,2,678,530,146,528,person
260,5,person,6,1,22692,17,334,2,480,188,146,186,person
261,7,bottle,8,0,22692,15,570,388,656,639,86,251,bottle
262,8,scissors,9,0,22692,15,516,682,655,767,139,85,scissors
263,14,person,15,1,22692,22,392,1,579,173,187,172,person
264,0,table,1,0,22693,74,320,409,995,1023,675,614,dining table
265,1,person,2,1,22693,120,0,0,568,1022,568,1022,person
266,2,person,3,1,22693,102,218,33,731,912,513,879,person
267,7,bottle,8,0,22693,20,836,874,942,1023,106,149,bottle
268,9,scissors,10,1,22693,19,703,826,823,929,120,103,scissors
269,4,person,5,0,22694,44,84,599,498,1702,414,1103,person
270,5,person,6,1,22694,36,596,533,998,1887,402,1354,person
271,19,clock,20,1,15,29,82,393,158,499,76,106,clock
272,24,person,25,1,15,111,16,443,146,867,130,424,person
273,71,person,72,1,15,171,334,261,599,998,265,737,person
274,85,glasses,86,0,15,29,452,582,544,648,92,66,eye glasses
275,87,person,88,1,15,91,122,233,394,997,272,764,person
276,1,chair,2,1,16,16,686,416,835,613,149,197,chair
277,2,person,3,0,16,51,508,68,838,612,330,544,person
278,14,person,15,1,16,89,2,36,381,613,379,577,person
279,2,person,3,0,1714,62,72,115,173,273,101,158,person
280,0,person,1,1,1715,59,17,1,223,437,206,436,person
281,13,chair,14,1,1716,20,94,216,176,333,82,117,chair
282,16,person,17,1,1716,57,197,95,316,374,119,279,person
283,19,chair,20,1,1717,19,262,174,299,224,37,50,chair
284,0,person,1,1,1718,53,52,25,168,275,116,250,person
285,2,person,3,1,1719,17,23,25,59,85,36,60,person
286,3,person,4,1,1719,42,0,98,134,270,134,172,person
287,1,person,2,1,1720,35,142,46,195,156,53,110,person
288,7,person,8,1,1721,59,85,44,221,248,136,204,person
289,10,table,11,0,1721,17,277,60,399,207,122,147,dining table
290,3,person,4,0,1723,82,17,34,97,349,80,315,person
291,0,person,1,1,1724,94,10,9,417,492,407,483,person
292,3,table,3,0,1725,19,109,205,181,260,72,55,dining table
293,6,person,6,1,1725,16,145,161,166,197,21,36,person
294,1,person,2,0,1726,63,4,107,147,333,143,226,person
295,1,chair,2,0,1727,22,76,50,135,140,59,90,chair
296,4,person,5,0,1727,67,114,32,268,200,154,168,person
297,5,chair,6,0,1727,28,207,73,294,200,87,127,chair
298,2,person,3,0,1728,37,277,55,309,109,32,54,person
299,5,person,6,1,1728,21,109,93,140,137,31,44,person
300,6,person,7,0,1728,44,134,92,197,199,63,107,person
301,7,person,8,1,1728,39,60,54,115,161,55,107,person
302,8,person,9,0,1728,56,4,58,132,200,128,142,person
303,7,chair,8,0,1729,17,206,168,238,226,32,58,chair
304,1,person,2,1,1730,60,0,18,163,255,163,237,person
305,5,person,6,1,1730,43,30,69,116,131,86,62,person
306,6,person,7,1,1730,28,62,57,92,142,30,85,person
307,15,person,16,1,1731,65,97,58,197,200,100,142,person
308,0,person,1,0,1732,71,203,247,347,694,144,447,person
309,0,person,1,1,1734,103,2,8,279,226,277,218,person
310,0,person,1,1,1735,46,251,58,393,250,142,192,person
311,1,table,2,0,1735,15,251,233,477,324,226,91,dining table
312,4,potters wheel,5,0,1736,24,107,456,410,681,303,225,potted plant
313,5,potters wheel,6,0,1736,28,277,343,495,552,218,209,potted plant
314,6,potters wheel,7,0,1736,21,416,273,549,429,133,156,potted plant
315,8,potters wheel,9,0,1736,26,544,429,862,680,318,251,potted plant
316,9,potters wheel,10,0,1736,21,611,310,760,429,149,119,potted plant
317,17,person,18,0,1736,42,564,147,662,432,98,285,person
318,18,person,19,1,1736,29,2,317,228,582,226,265,person
319,19,person,20,1,1736,32,241,263,460,434,219,171,person
320,20,person,21,1,1736,20,347,204,468,306,121,102,person
321,21,person,22,1,1736,18,436,162,519,255,83,93,person
322,23,person,24,1,1736,15,879,118,921,235,42,117,person
323,31,person,31,1,1736,77,725,188,921,613,196,425,person
324,32,person,32,1,1736,35,727,240,780,367,53,127,person
325,33,person,33,1,1736,33,708,162,774,273,66,111,person
326,34,person,34,1,1736,25,687,186,753,242,66,56,person
327,36,bowl,36,1,1736,21,411,379,483,419,72,40,bowl
328,44,pot,44,1,1736,16,250,183,275,233,25,50,potted plant
329,6,table,7,1,1738,15,2,167,219,354,217,187,dining table
330,7,table,8,1,1738,16,196,177,450,297,254,120,dining table
331,14,chair,15,1,1738,16,373,137,435,187,62,50,chair
332,15,table,16,0,1738,16,236,119,290,168,54,49,dining table
333,15,book,16,0,1739,20,181,263,278,300,97,37,book
334,7,table,8,0,1740,16,677,318,752,403,75,85,dining table
335,12,person,13,0,1740,42,633,143,730,381,97,238,person
336,13,person,14,0,1740,37,471,139,528,333,57,194,person
337,14,person,15,0,1740,43,311,149,380,331,69,182,person
338,15,person,16,0,1740,47,110,141,203,322,93,181,person
339,18,person,17,1,1741,54,951,249,1455,1191,504,942,person
340,0,person,1,1,1742,28,150,163,286,310,136,147,person
341,5,person,6,1,1742,17,142,140,175,187,33,47,person
342,7,person,8,1,1742,29,58,152,120,239,62,87,person
343,9,person,10,1,1742,48,161,85,297,233,136,148,person
344,10,person,11,1,1742,35,304,91,376,235,72,144,person
345,11,person,12,1,1742,35,323,147,477,310,154,163,person
346,0,person,1,1,1743,52,122,33,197,233,75,200,person
347,1,person,2,0,1743,77,34,13,151,225,117,212,person
348,8,sofa,9,1,1744,20,206,166,248,313,42,147,couch
349,0,person,1,1,1745,68,1,12,250,265,249,253,person
350,7,table,8,1,1745,15,113,143,396,264,283,121,dining table
351,15,person,16,1,1746,18,552,116,587,161,35,45,person
352,16,person,17,1,1746,37,129,167,167,408,38,241,person
353,17,person,18,1,1746,51,2,224,141,474,139,250,person
354,18,person,19,1,1746,48,142,253,373,474,231,221,person
355,7,person,8,1,1747,73,0,38,158,232,158,194,person
356,24,table,25,1,1748,18,165,308,276,418,111,110,dining table
357,4,person,5,1,1749,28,74,97,137,169,63,72,person
358,0,person,1,1,1750,76,30,57,287,498,257,441,person
359,0,person,1,1,1751,31,225,53,311,215,86,162,person
360,6,table,7,0,1751,18,123,137,239,213,116,76,dining table
361,4,sofa,5,0,1752,22,144,158,234,219,90,61,couch
362,6,table,7,0,1752,41,18,173,81,255,63,82,dining table
363,1,person,2,1,1753,52,86,0,236,211,150,211,person
364,4,person,5,1,1753,51,257,0,449,300,192,300,person
365,5,person,6,1,1753,34,318,46,434,241,116,195,person
366,8,plate,9,0,1753,19,114,234,299,293,185,59,plate
367,0,person,1,1,1754,66,47,11,248,223,201,212,person
368,1,chair,2,1,1754,33,220,83,284,223,64,140,chair
369,2,chair,3,1,1754,24,223,11,278,93,55,82,chair
370,8,table,9,1,1755,20,191,225,266,294,75,69,dining table
371,9,chair,10,0,1755,21,35,234,123,294,88,60,chair
372,0,person,1,0,1756,44,84,127,162,235,78,108,person
373,1,table,2,0,1756,18,3,214,199,322,196,108,dining table
374,0,person,1,1,1758,57,116,58,265,337,149,279,person
375,9,table,10,1,1759,17,119,228,252,281,133,53,dining table
376,11,chair,12,1,1759,17,43,198,165,281,122,83,chair
377,14,table,15,1,1759,15,80,170,126,223,46,53,dining table
378,0,person,1,0,1760,63,301,8,390,289,89,281,person
379,1,person,2,1,1760,23,48,132,114,220,66,88,person
380,12,chair,13,1,1760,18,114,146,154,199,40,53,chair
381,19,person,20,1,1761,50,504,86,599,333,95,247,person
382,0,person,1,1,1762,66,82,11,199,321,117,310,person
383,0,person,1,1,1763,50,11,139,130,300,119,161,person
384,5,scissors,6,0,1763,25,96,172,110,203,14,31,scissors
385,18,window,19,1,1763,46,0,126,78,228,78,102,window
386,0,person,1,0,1764,72,177,50,510,767,333,717,person
387,1,dog,2,1,1764,37,182,498,449,767,267,269,dog
388,5,table,6,0,1765,17,266,111,385,209,119,98,dining table
389,13,chair,14,0,1765,26,119,116,201,209,82,93,chair
390,4,person,5,1,1766,45,39,141,127,287,88,146,person
391,7,dog,8,0,1766,34,113,342,275,404,162,62,dog
392,0,person,1,1,1767,61,59,22,165,135,106,113,person
393,1,person,2,1,1767,49,189,24,319,240,130,216,person
394,3,table,4,0,1767,17,27,42,200,137,173,95,dining table
395,4,person,5,1,1767,22,0,0,39,115,39,115,person
396,8,chair,9,1,1767,29,167,79,213,126,46,47,chair
397,8,person,9,1,1768,31,1063,296,1204,857,141,561,person
398,9,person,10,1,1768,68,181,150,712,1198,531,1048,person
399,3,person,4,0,1770,35,121,38,137,95,16,57,person
400,5,person,6,0,1770,26,166,37,183,102,17,65,person
401,9,person,10,1,1770,21,177,53,201,103,24,50,person
402,11,person,12,1,1770,35,228,72,261,197,33,125,person
403,14,person,15,1,1770,29,188,110,240,199,52,89,person
404,18,person,19,1,1770,40,69,92,126,208,57,116,person
405,20,person,21,1,1770,42,7,89,86,209,79,120,person
406,21,person,22,1,1770,22,64,43,77,103,13,60,person
407,2,person,3,1,1772,43,61,38,208,234,147,196,person
408,3,chair,4,1,1772,25,58,89,136,351,78,262,chair
409,5,person,6,1,1772,62,129,52,403,359,274,307,person
410,8,hat,9,0,1772,23,72,36,156,80,84,44,hat
411,3,person,4,1,1773,41,4,36,96,227,92,191,person
412,8,person,9,1,1773,70,276,55,418,292,142,237,person
413,8,person,9,0,1774,74,81,7,222,186,141,179,person
414,4,table,5,1,1777,44,203,206,308,304,105,98,dining table
415,7,person,8,0,1777,46,170,127,229,292,59,165,person
416,8,person,9,1,1777,36,72,111,127,240,55,129,person
417,9,person,10,1,1777,32,324,16,450,337,126,321,person
418,10,chair,11,1,1777,33,252,220,344,337,92,117,chair
419,11,chair,12,1,1777,23,150,195,184,277,34,82,chair
420,17,person,18,1,1777,16,31,90,57,208,26,118,person
421,18,table,19,1,1777,31,10,214,144,337,134,123,dining table
422,0,person,1,0,1778,56,129,18,309,251,180,233,person
423,6,sofa,7,1,1780,19,35,132,196,252,161,120,couch
424,7,chair,8,0,1780,31,81,162,167,301,86,139,chair
425,0,table,1,0,1781,25,45,126,210,222,165,96,dining table
426,6,table,7,1,1781,15,0,110,37,148,37,38,dining table
427,16,chair,17,1,1781,21,91,148,136,200,45,52,chair
428,6,person,7,1,1782,32,107,48,177,257,70,209,person
429,20,window,21,1,1782,19,160,0,224,152,64,152,window
430,8,person,9,1,1783,33,2,378,315,647,313,269,person
431,12,bottle,13,0,1783,15,370,486,408,599,38,113,bottle
432,13,person,14,1,1783,20,374,187,484,475,110,288,person
433,17,person,18,1,1783,19,293,119,363,230,70,111,person
434,18,person,19,1,1783,36,115,213,222,397,107,184,person
435,21,person,22,1,1783,39,159,173,270,334,111,161,person
436,25,chair,26,0,1783,20,384,168,428,239,44,71,chair
437,22,person,23,1,1784,40,595,1194,1114,1800,519,606,person
438,12,table,13,1,1785,32,1071,939,1368,1254,297,315,dining table
439,16,table,17,1,1785,17,2087,868,2199,1339,112,471,dining table
440,17,table,18,0,1785,29,156,898,398,1273,242,375,dining table
441,18,table,19,0,1785,37,26,1007,320,1460,294,453,dining table
442,19,table,20,1,1785,17,38,864,227,974,189,110,dining table
443,86,door,85,0,1785,26,1520,424,1824,1244,304,820,door
444,3,table,4,1,1786,44,801,750,1517,1479,716,729,dining table
445,12,table,13,1,1786,28,1068,1024,2042,1534,974,510,dining table
446,16,person,17,1,1786,85,477,367,1324,1532,847,1165,person
447,5,person,6,1,1787,65,161,506,894,1530,733,1024,person
448,6,chair,7,1,1787,41,293,1101,870,1534,577,433,chair
449,8,clock,9,0,1787,15,102,455,231,579,129,124,clock
450,10,person,11,1,1788,50,139,53,170,170,31,117,person
451,11,table,12,1,1788,16,138,119,185,202,47,83,dining table
452,16,person,17,1,1788,53,16,61,89,167,73,106,person
453,17,person,18,1,1788,39,77,112,136,179,59,67,person
454,19,person,20,0,1788,69,201,11,249,141,48,130,person
455,20,person,21,0,1788,62,251,15,305,145,54,130,person
456,30,sofa,31,1,1789,56,143,657,751,970,608,313,couch
457,37,table,38,1,1789,41,1762,780,2080,986,318,206,dining table
458,39,chair,40,1,1789,32,1907,843,2092,1004,185,161,chair
